timestamp,dataset,task,algorithm,target_col,split,n_train,n_test,accuracy,precision,recall,f1,cv_accuracy_mean,cv_accuracy_std,cv_f1_mean,cv_f1_std,mae,rmse,r2,cv_mae_mean,cv_mae_std,cv_rmse_mean,cv_rmse_std,cv_r2_mean,cv_r2_std,silhouette_score,cv_silhouette_mean,cv_silhouette_std,n_clusters,notes
2026-08-01T14:50:19.597784,healthcare_dataset_stroke,classification,logistic,stroke,train=80%/test=20%,4088,1022,0.7417,0.9433,0.7417,0.8147,0.7315,0.0083,0.8078,0.0057,,,,,,,,,,,,,,
2026-08-01T14:50:21.814935,healthcare_dataset_stroke,classification,decision_tree,stroke,train=80%/test=20%,4088,1022,0.7945,0.9418,0.7945,0.8502,0.7397,0.0309,0.813,0.0211,,,,,,,,,,,,,,
2026-08-01T14:50:26.955182,healthcare_dataset_stroke,classification,gradient_boosting,stroke,train=80%/test=20%,4088,1022,0.9501,0.9045,0.9501,0.9267,0.9501,0.0012,0.9273,0.001,,,,,,,,,,,,,,
2026-08-01T14:50:29.330892,healthcare_dataset_stroke,classification,logistic,hypertension,train=80%/test=20%,4088,1022,0.684,0.8914,0.684,0.7478,0.6947,0.0145,0.7563,0.011,,,,,,,,,,,,,,
2026-08-01T14:50:31.175169,healthcare_dataset_stroke,classification,decision_tree,hypertension,train=80%/test=20%,4088,1022,0.635,0.8976,0.635,0.7086,0.6301,0.0134,0.7048,0.0112,,,,,,,,,,,,,,
2026-08-01T14:50:35.928724,healthcare_dataset_stroke,classification,gradient_boosting,hypertension,train=80%/test=20%,4088,1022,0.8992,0.843,0.8992,0.8578,0.9008,0.0019,0.8568,0.0026,,,,,,,,,,,,,,
2026-08-01T14:50:38.528006,healthcare_dataset_stroke,classification,logistic,heart_disease,train=80%/test=20%,4088,1022,0.7485,0.9374,0.7485,0.8167,0.7546,0.0137,0.8209,0.0094,,,,,,,,,,,,,,
2026-08-01T14:50:43.607284,healthcare_dataset_stroke,classification,decision_tree,heart_disease,train=80%/test=20%,4088,1022,0.7241,0.9251,0.7241,0.7991,0.7438,0.0258,0.813,0.018,,,,,,,,,,,,,,
2026-08-01T14:50:49.950143,healthcare_dataset_stroke,classification,gradient_boosting,heart_disease,train=80%/test=20%,4088,1022,0.9462,0.923,0.9462,0.9219,0.9442,0.0016,0.9189,0.0008,,,,,,,,,,,,,,
2026-08-01T14:51:06.357539,healthcare_dataset_stroke,clustering,kmeans,,,,,,,,,,,,,,,,,,,,,,0.2265,0.1873,0.0135,5,
2026-08-01T14:51:10.482479,healthcare_dataset_stroke,clustering,hierarchical,,,,,,,,,,,,,,,,,,,,,,0.1842,,,3,
2026-08-01T14:51:14.810892,healthcare_dataset_stroke,clustering,dbscan,,,,,,,,,,,,,,,,,,,,,,0.4164,,,77,outliers=351
2026-08-01T14:51:21.642480,healthcare_dataset_stroke,clustering,gaussian_mixture,,,,,,,,,,,,,,,,,,,,,,0.1837,0.168,0.0105,3,
2026-08-01T14:51:53.580634,neurofibromatosis,classification,logistic,Case Type,train=80%/test=20%,236,59,0.4746,0.4657,0.4746,0.4668,0.522,0.054,0.5189,0.055,,,,,,,,,,,,,,
2026-08-01T14:51:55.736882,neurofibromatosis,classification,decision_tree,Case Type,train=80%/test=20%,236,59,0.4915,0.5061,0.4915,0.4842,0.4712,0.0329,0.4533,0.0311,,,,,,,,,,,,,,
2026-08-01T14:51:58.598081,neurofibromatosis,classification,gradient_boosting,Case Type,train=80%/test=20%,236,59,0.5085,0.5012,0.5085,0.5012,0.4949,0.0507,0.4897,0.0521,,,,,,,,,,,,,,
2026-08-01T14:52:00.748211,neurofibromatosis,classification,logistic,Tumour Case,train=80%/test=20%,236,59,0.8305,0.862,0.8305,0.8375,0.8441,0.0392,0.85,0.0367,,,,,,,,,,,,,,
2026-08-01T14:52:02.568012,neurofibromatosis,classification,decision_tree,Tumour Case,train=80%/test=20%,236,59,0.8305,0.849,0.8305,0.8358,0.8576,0.0275,0.8635,0.0264,,,,,,,,,,,,,,
2026-08-01T14:52:05.536338,neurofibromatosis,classification,gradient_boosting,Tumour Case,train=80%/test=20%,236,59,0.8475,0.8449,0.8475,0.8459,0.8949,0.0346,0.8936,0.0353,,,,,,,,,,,,,,
2026-08-01T14:52:09.270845,neurofibromatosis,clustering,kmeans,,,,,,,,,,,,,,,,,,,,,,0.1307,0.1372,0.0161,3,
2026-08-01T14:52:11.203944,neurofibromatosis,clustering,hierarchical,,,,,,,,,,,,,,,,,,,,,,0.3742,,,2,
2026-08-01T14:52:12.692606,neurofibromatosis,clustering,dbscan,,,,,,,,,,,,,,,,,,,,,,-0.1752,,,4,outliers=247
2026-08-01T14:52:14.778648,neurofibromatosis,clustering,gaussian_mixture,,,,,,,,,,,,,,,,,,,,,,0.3676,0.2393,0.0837,3,
2026-08-01T14:55:32.987735,higher_education_predictors_of_student_retention,classification,logistic,Target,train=80%/test=20%,3539,885,0.7266,0.768,0.7266,0.7405,0.7484,0.014,0.7573,0.0124,,,,,,,,,,,,,,
2026-08-01T14:55:35.260199,higher_education_predictors_of_student_retention,classification,decision_tree,Target,train=80%/test=20%,3539,885,0.6588,0.7459,0.6588,0.6834,0.6926,0.0057,0.7088,0.004,,,,,,,,,,,,,,
2026-08-01T14:55:48.339584,higher_education_predictors_of_student_retention,classification,random_forest,Target,train=80%/test=20%,3539,885,0.7412,0.7696,0.7412,0.7511,0.7495,0.0063,0.7539,0.0077,,,,,,,,,,,,,,
2026-08-01T14:57:20.498725,higher_education_predictors_of_student_retention,classification,gradient_boosting,Target,train=80%/test=20%,3539,885,0.7605,0.7465,0.7605,0.7485,0.7728,0.0081,0.7609,0.0094,,,,,,,,,,,,,,
2026-08-01T14:57:23.385363,higher_education_predictors_of_student_retention,classification,knn,Target,train=80%/test=20%,3539,885,0.7153,0.6984,0.7153,0.6922,0.715,0.0091,0.6935,0.0098,,,,,,,,,,,,,,
2026-08-01T14:57:35.435148,higher_education_predictors_of_student_retention,clustering,kmeans,,,,,,,,,,,,,,,,,,,,,,0.1858,0.186,0.0004,2,
2026-08-01T14:57:38.968464,higher_education_predictors_of_student_retention,clustering,hierarchical,,,,,,,,,,,,,,,,,,,,,,0.174,,,3,
2026-08-01T14:57:41.629320,higher_education_predictors_of_student_retention,clustering,dbscan,,,,,,,,,,,,,,,,,,,,,,-0.0391,,,7,outliers=2074
2026-08-01T14:57:49.503540,higher_education_predictors_of_student_retention,clustering,gaussian_mixture,,,,,,,,,,,,,,,,,,,,,,0.1515,0.1385,0.0065,3,
2026-08-01T15:01:55.857250,pgcb_hourly_generation,regression,naive,generation_mw,chronological_85%,,,,,,,,,,,731.6488,1059.7907,0.7725,,,,,,,,,,,
2026-08-01T15:01:58.719575,pgcb_hourly_generation,regression,linear_regression,generation_mw,chronological_85%,,,,,,,,,,,3341.5065,3920.7106,-2.1135,2790.214,1779.062,105739.9478,206732.8692,-0.5425,1.0797,,,,,
2026-08-01T15:02:06.769462,pgcb_hourly_generation,regression,xgboost,generation_mw,chronological_85%,,,,,,,,,,,1719.9959,2082.1843,0.1205,1600.9944,1692.44,116571.2078,202958.1497,-155.7295,312.8445,,,,,
2026-08-01T15:02:09.516185,pgcb_hourly_generation,regression,ridge,generation_mw,chronological_85%,,,,,,,,,,,2510.055,3020.7653,-0.8512,2587.6696,3677.2126,136400.4589,270760.8247,0.2787,0.8217,,,,,
2026-08-01T15:02:59.512050,pgcb_hourly_generation,clustering,kmeans,,,,,,,,,,,,,,,,,,,,,,0.2802,0.2802,0.0001,2,
2026-08-01T15:03:08.051477,pgcb_hourly_generation,clustering,hierarchical,,,,,,,,,,,,,,,,,,,,,,0.1667,,,4,
2026-08-01T15:03:42.843881,pgcb_hourly_generation,clustering,dbscan,,,,,,,,,,,,,,,,,,,,,,-0.3524,,,20,outliers=6837
2026-08-01T15:04:32.235873,pgcb_hourly_generation,clustering,gaussian_mixture,,,,,,,,,,,,,,,,,,,,,,0.1174,0.1237,0.0279,3,
2026-08-01T15:08:43.527607,har70plus,regression,naive,back_x,chronological_80%,,,,,,,,,,,0.0291,0.0641,0.9252,,,,,,,,,,,
2026-08-01T15:08:53.160641,har70plus,regression,linear_regression,back_x,chronological_80%,,,,,,,,,,,0.1661,0.2347,-0.0014,0.183,0.026,0.2574,0.0308,-0.0183,0.0243,,,,,
2026-08-01T15:09:04.640218,har70plus,regression,ridge,back_x,chronological_80%,,,,,,,,,,,0.03,0.0605,0.9335,0.0317,0.0068,0.0703,0.0186,0.9232,0.029,,,,,
2026-08-01T15:09:16.675222,har70plus,regression,lasso,back_x,chronological_80%,,,,,,,,,,,0.0434,0.0699,0.9113,0.0445,0.0077,0.0786,0.0167,0.9049,0.0242,,,,,
